State,Year,Transportation (MtCO2e)
AL,1995,34.04470719
AL,1996,33.43428941
AL,1997,33.08923244
AL,1998,33.7018468
AL,1999,34.01321727
AL,2000,35.3348791
AL,2001,33.17899963
AL,2002,35.03068582
AL,2003,33.6454615
AL,2004,36.33489789
AL,2005,36.15712542
AL,2006,36.65777139
AL,2007,37.09854659
AL,2008,34.8980781
AL,2009,33.33742373
AL,2010,34.17282469
AK,1995,12.56160542
AK,1996,12.23963277
AK,1997,13.7356878
AK,1998,14.00316844
AK,1999,15.07038137
AK,2000,15.97778317
AK,2001,14.96898529
AK,2002,15.26629488
AK,2003,15.92692426
AK,2004,19.38614793
AK,2005,19.21231909
AK,2006,19.35772529
AK,2007,18.24186107
AK,2008,15.58422711
AK,2009,13.75797657
AK,2010,15.14560183
AZ,1995,27.65601395
AZ,1996,29.35403912
AZ,1997,29.39640838
AZ,1998,31.60648015
AZ,1999,33.24218663
AZ,2000,34.06034406
AZ,2001,35.0525358
AZ,2002,35.750655
AZ,2003,36.58190032
AZ,2004,37.5930655
AZ,2005,38.19762533
AZ,2006,39.35945655
AZ,2007,38.92284672
AZ,2008,36.40513643
AZ,2009,34.41958941
AZ,2010,32.85904822
AR,1995,19.46988982
AR,1996,19.86232765
AR,1997,20.42722643
AR,1998,20.63353237
AR,1999,21.85102741
AR,2000,21.89184234
AR,2001,20.68408701
AR,2002,21.2308846
AR,2003,20.9392952
AR,2004,21.37454245
AR,2005,21.31641374
AR,2006,21.29219744
AR,2007,21.69531062
AR,2008,21.28472596
AR,2009,20.7323651
AR,2010,20.76552906
CA,1995,211.2131119
CA,1996,215.065269
CA,1997,209.7683916
CA,1998,210.4146185
CA,1999,214.6381115
CA,2000,225.4206202
CA,2001,220.8567126
CA,2002,232.2759835
CA,2003,238.7248433
CA,2004,231.0933061
CA,2005,236.3811124
CA,2006,240.2083587
CA,2007,243.3101456
CA,2008,229.8694886
CA,2009,222.3200007
CA,2010,218.1313396
CO,1995,23.73366175
CO,1996,24.26202863
CO,1997,24.12036946
CO,1998,25.27125638
CO,1999,26.79248858
CO,2000,27.02325135
CO,2001,28.30554656
CO,2002,28.02566277
CO,2003,27.30551485
CO,2004,30.30200067
CO,2005,30.8772836
CO,2006,31.60206584
CO,2007,32.29060213
CO,2008,31.18738794
CO,2009,30.06892137
CO,2010,30.47229035
CT,1995,15.42769019
CT,1996,16.22358894
CT,1997,16.2597783
CT,1998,16.49176158
CT,1999,17.70572131
CT,2000,17.17378436
CT,2001,17.84307241
CT,2002,17.68602884
CT,2003,18.12075446
CT,2004,19.97044205
CT,2005,19.02252441
CT,2006,18.16230977
CT,2007,18.1384727
CT,2008,17.36898424
CT,2009,16.80961601
CT,2010,16.60305454
DE,1995,4.596421522
DE,1996,5.072831055
DE,1997,4.967430393
DE,1998,5.004101115
DE,1999,5.177587801
DE,2000,5.344081481
DE,2001,4.959837548
DE,2002,5.17451678
DE,2003,5.046122212
DE,2004,5.160647341
DE,2005,5.355055768
DE,2006,5.35362433
DE,2007,5.378607153
DE,2008,5.175550461
DE,2009,4.972906658
DE,2010,4.6447896
DC,1995,1.921916936
DC,1996,1.857361079
DC,1997,1.894135075
DC,1998,1.833970789
DC,1999,1.863739426
DC,2000,1.940269017
DC,2001,1.80709577
DC,2002,1.704461026
DC,2003,1.66483521
DC,2004,1.755577386
DC,2005,1.461485015
DC,2006,1.303795075
DC,2007,1.280375613
DC,2008,1.135534666
DC,2009,1.17449512
DC,2010,1.121234138
FL,1995,91.44077352
FL,1996,92.31658669
FL,1997,95.58349892
FL,1998,97.01826754
FL,1999,99.67080591
FL,2000,105.4938221
FL,2001,103.8143113
FL,2002,106.2449826
FL,2003,104.1017206
FL,2004,115.4438544
FL,2005,118.0434866
FL,2006,120.2749862
FL,2007,118.9743757
FL,2008,109.145836
FL,2009,101.9671998
FL,2010,109.2200141
GA,1995,59.60265095
GA,1996,63.03893283
GA,1997,60.79675762
GA,1998,62.86034833
GA,1999,64.75296746
GA,2000,64.83296624
GA,2001,64.59399655
GA,2002,64.43923568
GA,2003,65.71543786
GA,2004,68.87744287
GA,2005,71.51677123
GA,2006,70.35947276
GA,2007,68.81619326
GA,2008,63.66351188
GA,2009,67.12453147
GA,2010,69.11560025
HI,1995,10.25239261
HI,1996,9.077618717
HI,1997,8.745361973
HI,1998,8.545814785
HI,1999,9.184210441
HI,2000,9.34404407
HI,2001,9.843069092
HI,2002,10.3980115
HI,2003,11.97588339
HI,2004,12.71758517
HI,2005,13.11528592
HI,2006,13.28976901
HI,2007,14.32494582
HI,2008,9.966289182
HI,2009,9.225228087
HI,2010,9.527411867
ID,1995,8.267940421
ID,1996,8.423000301
ID,1997,8.62233712
ID,1998,8.783449643
ID,1999,9.23898977
ID,2000,9.243276747
ID,2001,9.022913032
ID,2002,9.135589148
ID,2003,8.614742775
ID,2004,9.023034561
ID,2005,8.997706911
ID,2006,9.568300781
ID,2007,9.874501463
ID,2008,9.156765656
ID,2009,8.926149877
ID,2010,9.66971494
IL,1995,59.10632115
IL,1996,61.20418636
IL,1997,61.56800042
IL,1998,62.69673103
IL,1999,68.73513249
IL,2000,70.33672439
IL,2001,67.83738997
IL,2002,65.46737001
IL,2003,67.66300986
IL,2004,71.73148672
IL,2005,79.24440494
IL,2006,75.29795311
IL,2007,75.43392849
IL,2008,71.86335079
IL,2009,69.48269104
IL,2010,68.91835379
IN,1995,46.34771295
IN,1996,45.61643751
IN,1997,45.71444428
IN,1998,46.04707614
IN,1999,46.84258368
IN,2000,48.80898415
IN,2001,44.6667783
IN,2002,47.79997689
IN,2003,48.77768484
IN,2004,46.76272631
IN,2005,46.85334699
IN,2006,47.70916039
IN,2007,46.6352732
IN,2008,44.15336474
IN,2009,41.98519542
IN,2010,43.31595469
IA,1995,18.75590082
IA,1996,20.04308503
IA,1997,19.580786
IA,1998,20.22204944
IA,1999,20.02284656
IA,2000,19.66819262
IA,2001,19.52808964
IA,2002,20.06169123
IA,2003,20.02845555
IA,2004,21.22839211
IA,2005,21.88345799
IA,2006,22.38419275
IA,2007,22.81189302
IA,2008,21.98396321
IA,2009,21.37350616
IA,2010,22.06890769
KS,1995,19.99903894
KS,1996,19.86337732
KS,1997,19.68332139
KS,1998,19.72013598
KS,1999,20.77105559
KS,2000,19.68910797
KS,2001,18.37576222
KS,2002,18.6479485
KS,2003,20.23011828
KS,2004,19.76103779
KS,2005,18.49130154
KS,2006,19.59975779
KS,2007,20.01757252
KS,2008,19.38446113
KS,2009,19.43378203
KS,2010,18.49775641
KY,1995,31.29421232
KY,1996,29.54066614
KY,1997,31.85916246
KY,1998,31.88403499
KY,1999,32.89816533
KY,2000,32.95980737
KY,2001,33.32320489
KY,2002,34.28547384
KY,2003,32.53213265
KY,2004,35.52011238
KY,2005,34.4884972
KY,2006,34.28668809
KY,2007,35.7415699
KY,2008,32.64158565
KY,2009,32.59771535
KY,2010,33.20265037
LA,1995,55.60995963
LA,1996,60.90821033
LA,1997,58.25062362
LA,1998,57.06856336
LA,1999,56.91382918
LA,2000,62.5776764
LA,2001,54.93922181
LA,2002,56.21282115
LA,2003,55.55988904
LA,2004,54.82956673
LA,2005,52.1099062
LA,2006,55.96327036
LA,2007,51.67114479
LA,2008,46.63964333
LA,2009,46.09434625
LA,2010,48.81135828
ME,1995,7.765030833
ME,1996,8.010662917
ME,1997,8.391498084
ME,1998,8.202965891
ME,1999,8.454035082
ME,2000,9.021043303
ME,2001,8.084342426
ME,2002,9.135918432
ME,2003,9.659814099
ME,2004,9.031453189
ME,2005,9.677988668
ME,2006,9.678307909
ME,2007,9.289124319
ME,2008,8.490041995
ME,2009,8.656476833
ME,2010,8.751729765
MD,1995,26.45304043
MD,1996,27.14008235
MD,1997,27.87646602
MD,1998,28.67238704
MD,1999,30.05596647
MD,2000,30.19834446
MD,2001,30.30385477
MD,2002,29.7625492
MD,2003,30.59324791
MD,2004,32.3292963
MD,2005,33.199506
MD,2006,33.03150676
MD,2007,32.53731427
MD,2008,31.67416452
MD,2009,32.2432556
MD,2010,30.52217861
MA,1995,30.26150073
MA,1996,31.6349676
MA,1997,32.05720914
MA,1998,32.08335146
MA,1999,32.75938661
MA,2000,33.80323263
MA,2001,33.26241768
MA,2002,33.23736202
MA,2003,32.9172025
MA,2004,34.79437605
MA,2005,35.1580018
MA,2006,33.94808247
MA,2007,34.39450026
MA,2008,34.32201353
MA,2009,31.39933056
MA,2010,31.54235563
MI,1995,56.77760254
MI,1996,57.56757576
MI,1997,58.67768073
MI,1998,59.97915122
MI,1999,62.34438865
MI,2000,60.31505169
MI,2001,59.52266992
MI,2002,60.43132698
MI,2003,57.60927264
MI,2004,58.55719612
MI,2005,57.8371954
MI,2006,57.49952794
MI,2007,56.92873417
MI,2008,52.88423487
MI,2009,51.04187226
MI,2010,50.97951693
MN,1995,31.33469425
MN,1996,32.30824331
MN,1997,31.90590331
MN,1998,33.41026354
MN,1999,35.46943042
MN,2000,36.69146234
MN,2001,35.81482968
MN,2002,36.24597491
MN,2003,36.00137294
MN,2004,37.32497846
MN,2005,37.76368936
MN,2006,37.16467115
MN,2007,37.39339535
MN,2008,35.92782783
MN,2009,33.05403415
MN,2010,33.55953152
MS,1995,24.4214508
MS,1996,24.69329576
MS,1997,25.52613583
MS,1998,25.83880019
MS,1999,27.16401741
MS,2000,26.38481514
MS,2001,25.56997751
MS,2002,26.00386748
MS,2003,27.32865977
MS,2004,26.72094803
MS,2005,26.1661656
