,Gas/Vehicle,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
land,Passenger Cars,657.4,615.3,624.4,636.1,642.7,646,657.8,660.8,682.6,697.3,695.3,701.2,714.9,693.6,691,709.6,682.9,847.4,807,798.7,787.9
land,Light-Duty Trucks,336.6,365.7,392.2,409.2,419.9,436.6,455.2,473.7,487.8,509.9,512.1,518.6,529.8,565.2,588.1,551.3,564,366.4,347,349.5,346.4
land,Medium- and Heavy-Duty Trucks,231.1,226.3,236.5,249.3,266.1,277.8,290.8,306.2,320.6,339.2,354.6,353.8,368.1,365.9,377.7,408.5,418.7,444.7,427.1,389.3,402.3
land,Buses,8.4,7.7,8.1,8.8,9.2,9.2,9.6,9.9,10.2,11.4,11.2,10.3,10,10.8,15.1,12,12.3,18,17.5,16.6,16.5
land,Motorcycles,1.8,1.7,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.9,1.9,1.7,1.7,1.7,1.8,1.7,1.9,4.3,4.5,4.3,3.8
air,Commercial Aircrafta,136.8,127.3,129.9,133.8,139.7,143.1,150,155.3,151.3,164.8,170.9,157.8,148.6,150.9,150.6,162.8,138.5,139.5,123.4,112.5,115.2
air,Other Aircraftb,44.4,43,35.9,34.4,32.2,32.3,32.1,30.5,32.4,33.3,33.5,34.7,32.4,32.2,35.8,35.8,35,33.1,35.2,30.4,28.7
water,Ships and Boatsc,45.1,40,55,47.7,48.3,58.6,54.4,39.8,33.7,29.8,61,42.7,47.6,37.3,40.1,45.2,48.4,55.2,37.1,34,43.3
land,Rail,39,36.8,37.7,38.8,41.9,43.7,44.7,45.3,45.8,47.7,48.1,48.6,48.2,49.5,52.3,53,55.1,54.4,50.7,43.4,46.3
other,Other Emissions from Electricity Generation,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
other,Pipelinese,36,32.9,32.2,34.1,37.5,38.2,38.9,41.2,35,35.5,35.2,34.4,36.4,32.5,31.1,32.2,32.3,34.2,35.6,36.6,38.8
other,Lubricants,11.8,10.6,10.8,11,11.5,11.3,11,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,9.5
,Total Transportation,"1,548.30","1,507.40","1,564.50","1,605.10","1,650.90","1,698.50","1,746.30","1,776.00","1,813.40","1,883.10","1,935.80","1,915.00","1,948.60","1,949.70","1,993.80","2,022.30","1,999.10","2,007.60","1,894.60","1,823.90","1,838.60"
,International Bunker Fuelsf,113,122.1,114.5,103.3,105.8,100.9,108.7,111.3,120.7,102.9,99.5,97.7,105.3,100.8,115.3,110.9,129.8,129,135.1,123.6,129.2
,,"1,661.30","1,629.50","1,679.00","1,708.40","1,756.70","1,799.40","1,855.00","1,887.30","1,934.10","1,986.00","2,035.30","2,012.70","2,053.90","2,050.50","2,109.10","2,133.20","2,128.90","2,136.60","2,029.70","1,947.50","1,967.80"
